Item,Quantity,Use,Cost(thb)+shipping,Link
ESP32-DevKitC Board,1, Microcontroller,100,https://shopee.co.th/EZY-ESP32-S3-N16R8-%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2-DevKitC-1-WROOM-1-N16R8-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B9%80%E0%B8%AA%E0%B8%B2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8-%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9A%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B5-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%9A%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%82%E0%B8%B2-%E0%B9%83%E0%B8%8A%E0%B9%89%E0%B8%A3%E0%B9%88%E0%B8%A7%E0%B8%A1%E0%B8%81%E0%B8%B1%E0%B8%9A-ESP32-S3-Core-Board-i.970097390.45766651354?extraParams=%7B%22display_model_id%22%3A411414746827%2C%22model_selection_logic%22%3A3%7D
ILI9341 TFT Touchscreen,1,The color display screen with touch controller support,180,https://shopee.co.th/%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5%E0%B8%9E%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%95%E0%B8%AD%E0%B8%99%E0%B8%B8%E0%B8%81%E0%B8%A3%E0%B8%A1-2.4-2.8-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-240x320-SPI-TFT-5V-3.3V-PCB-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94-Micro-SD-ILI9341-ST7789V-%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%88%E0%B8%AD-LCD-%E0%B8%AA%E0%B9%8D%E0%B8%B2%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Arduino-i.527130406.23263091856?extraParams=%7B%22display_model_id%22%3A197221837370%2C%22model_selection_logic%22%3A3%7D
28BYJ-48 Stepper Motor with ULN2003 Driver Board,1,Used for the mechanical dashboard gauge/wheel movement,90,https://shopee.co.th/ULN2003-Driver-5V-4-Phase-Stepper-Motor-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Arduino-%E0%B8%A1%E0%B8%B5%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%9A%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%B5-!!!!!!!!!!-i.117988183.6535217606?extraParams=%7B%22display_model_id%22%3A18493877124%2C%22model_selection_logic%22%3A3%7D
5V Mini Turbine / Blower Fan,1,physical fan,70,https://shopee.co.th/%E0%B8%9E%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%A1-DC12V-DC5V-%E0%B8%A1%E0%B8%B5%E0%B8%AB%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81-%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B8%96%E0%B9%83%E0%B8%8A%E0%B9%89%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%81%E0%B8%B1%E0%B8%9A-Raspberry-Pi-Arduino-%E0%B9%81%E0%B8%A5%E0%B8%B0-%E0%B8%AD%E0%B8%B7%E0%B9%88%E0%B8%99%E0%B9%86-DC-fan-AC-fan-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%87!!!!-i.117988183.6935119960?extraParams=%7B%22display_model_id%22%3A45583634289%2C%22model_selection_logic%22%3A2%7D
2N7000 N-Channel MOSFET,1,controller for fan,55,https://shopee.co.th/2N7000-N-Channel-MosFET-(5%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99)-i.76886102.2725729435?extraParams=%7B%22display_model_id%22%3A80078681507%2C%22model_selection_logic%22%3A3%7D
DFPlayer Mini MP3 Module,1,play engine sounds,70,https://shopee.co.th/Mcxk-e-DFPlayer-%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%99-MP3-DF-MP3-%E0%B8%96%E0%B8%AD%E0%B8%94%E0%B8%A3%E0%B8%AB%E0%B8%B1%E0%B8%AA%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B8%A2%E0%B8%87-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81-%E0%B8%AA%E0%B9%8D%E0%B8%B2%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-Arduino-%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94-TF-U-Disk-IO-Serial-Port-AD-i.1195523850.24624044031?extraParams=%7B%22display_model_id%22%3A176419475191%2C%22model_selection_logic%22%3A3%7D
Speaker,1,loaded with audio tracks,60,https://shopee.co.th/%E0%B8%A5%E0%B8%B3%E0%B9%82%E0%B8%9E%E0%B8%87-3W-4%E0%B9%82%E0%B8%AD%E0%B8%AB%E0%B9%8C%E0%B8%A1-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1.5-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-i.459630043.15650745687?extraParams=%7B%22display_model_id%22%3A152355135015%2C%22model_selection_logic%22%3A3%7D
Switches,3,control mode,70,https://shopee.co.th/(%E0%B8%8A%E0%B8%B8%E0%B8%94-10-%E0%B8%95%E0%B8%B1%E0%B8%A7)-Outemu-Switch-Keyboard-%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%95%E0%B8%8B%E0%B9%8C%E0%B8%84%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94-3-Pin-%E0%B8%A1%E0%B8%B5%E0%B8%84%E0%B8%A3%E0%B8%9A%E0%B8%97%E0%B8%B8%E0%B8%81%E0%B8%AA%E0%B8%B5-i.12549357.24958408929?extraParams=%7B%22display_model_id%22%3A148600352126%2C%22model_selection_logic%22%3A3%7D
Resistors,2,220 and 1k,50,https://shopee.co.th/%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B8%B2%E0%B8%99-1-4W-Resistor-1-4W-220-1k-10k-%E0%B9%82%E0%B8%AD%E0%B8%AB%E0%B9%8C%E0%B8%A1-Ohm-20-%E0%B8%95%E0%B8%B1%E0%B8%A7-SNP-00334-i.1272136510.27821866152?extraParams=%7B%22display_model_id%22%3A118551746173%2C%22model_selection_logic%22%3A3%7D
PCB,1,Component wiring,260,-
